PLAN90002, Comparative Urban Planning
HIST40039, History Thesis Part 1
CHEN90038, Product Design and Analysis
POPH90275, Population Mental Health
MUSI90197, Professional Research Project Part 1
CREA90011, Dance Movement Therapy Methods 2
PHRM90002, Pharmacology for Health Professionals
VETS90143, Ruminants and Camelids A
AHIS90004, The Print Room
LAWS90033, Law Apps
MUSI40028, Music and Gender
MUSI20228, Optimising Personal Performance
ABPL90129, Advanced Cost Management
ERTH20002, Environmental Geoscience
DEVT90070, Leadership Skills in Action
CHEM90035, Chemistry Research Project Pt 4
RADI90022, Diagnostic Radiology Minor Thesis 1
ACCT90044, Advanced Accounting 1
ENST90044, Analysing Ecosystems and Their Values
BINF90010, Bioinformatics Research Project Pt 3
CONS90001, Management Systems for Construction
BMSC90018, Defence & Disease: Containment or Chaos
ABPL90312, Cost Management
DEVT90077, Poverty, Microfinance and Development
MECM90024, Strategic Content Creation
POPH90169, Adolescent Sexuality and Sexual Health
AGRI90096, Advances in Crop Monitoring Methods
FREN40001, French Cinema Research Seminar
ARBC40008, Arabic Studies Thesis Part 2
ABPL90426, Applied Design Thinking
BMSC90020, Exploring Neural Circuits and Systems
DRAM10034, Contextual Studies 2
REHB90005, Rehabilitation for Paediatrics
MUSI90257, Side-by-side Project 2
HEBR30018, Hebrew 9
DENT90102, Prosthodontics 1
POPH90217, Foundations of Public Health
DPSS90009, Technical Collaboration (Stage & Screen)
BIOL40008, BioSciences Honours Research Project Pt2
ECON40002, Advanced Macroeconomics
PHYC40013, Physics Research Project Pt2
BIOL90037, BioSciences Research Project Pt 5
BUSA90544, Marketing Analytics
ENGM90015, Management and Leadership for Engineers
ABPL90283, Ecology for Design
MUSI90038, Music Therapy Practice 1
ACCT90013, Financial Accounting Theory & Practice
SCRN40010, Dream Screen: Film and Psychoanalysis
MAST90135, Foundations of Analytics
NURS90152, Critical Care Nursing
ANAT90011, Anatomy and Physiology
FLTV30018, Animation Lab 3
EVSC90023, Building Behaviour in Bushfires
ISYS90089, Strategic Change Leadership
SCWK90072, Professional Identity 1
LAWS70073, Expert Evidence
LAWS50033, Equity and Trusts
LAWS70018, Alternative Dispute Resolution
DPSS20012, Production Practice 2
ISYS90119, Information Systems Capstone Project
LAWS70008, Corporate Tax B
ECON90074, Economics Thesis Workshop Part 2
CHEM90043, Atmospheric Chemistry
CRIM90012, Introduction to Forensic Disability
MEDS90008, Educational Theory for Surgical Training
AUDI90021, Clinical Audiology A
PSYC90096, Thesis (Masters/coursework) Part 2
LAWS90229, Rethinking Construction Contracting Risk
POPH90279, Epidemiology Research Project Part 2
ELEN90077, Grid Integration of Renewables
AHIS40013, Advanced Art Fieldwork
ABPL90355, Issues and Techniques in Global Heritage
INDO30021, Indonesian Visions, Global Partnerships
GEOG90046, Geography Research Project Part 3
DRAM20028, Performance Practice 1
AHIS40024, Art History Thesis Part 2
